question	answer	final_QT	final_AS
اعاني من القلق ، وصفلي الدكتور لوسترال ٥٠ ملج كل يوم حبة واحدة سؤال هل هذه الجرعة تسبب السمنة وهل ستؤدي الى ضعف الاداء الجنسي ام لا (انا مقبل على زواج )	اللوسترال عند بعض المرضي يزيد من الشهية وعند اخرين لا يؤثر فيها. في بعض المرضى ايضا يقلل الرغبة الجنسية للسيدات والرجال ولكن تقليل الرغبة لا يحدث بالضرورة.	['B', 'D', 'F']	['1']
ماهو افضل دواء لعلاج المخاوف والقلق و الاكتئاب و تكون اعراضه بسيطة ؟	العلاج السلوكي والمعرفي عن طريق تصحيح المفاهيم الخاطئة يعتبر افضل طرق العلاج لكثير من تلك الاعراض عن طريق المتابعه مع اخصائي نفسي	['B']	['1']
قلق اكتئاب خوف وسوسه على خفيف ارق تقلبات فالمزاج بعد انقطاع من العادة السرية ٣٠ يوم توافيني هذه الاعراض منذ اسبوعين تقريبا ولكن عندما اصلي واستغفر واعلم الرياضه تخف قليلا	مساء الخير اجعل لنفسك بجانب العبادات انشطه اخرى مثل ممارسة رياضه خفيفه والقراءه في كتب بتحبها ووجودك مع الاصدقاء ده هيساعدك كنير	['A', 'E']	['1', '2', '3']
افكار عن الموت والمرض	تجنب المنبهات كالقهوة ومنتجات الكافيين تغيير السلوك الحياتي ، القراءة والكتابة او الرسم ، حياة رياضية واجتماعية وصداقات .	['A', 'E']	['1', '2']
هل يمكن أن يشعر المكتئب بلحظات من السعاده البسيطه	يعرف الاكتئاب بشكل عام على أنه اضطراب في المزاج يسبب الشعور بالحزن المستمر وفقدان الاهتمام بالحياة، وقد يرافق الأشخاص المصابون بالاكتئاب الشعور بالحزن في بعض الأحيان وهو أمر طبيعي ويحدث نتيجة خسارة شيء معين أو نتيجة مواجهة تحديات الحياة المختلفة وغيرها، إلا أن استمرار الشعور بالحزن وزيادة شدته مع الشعور بالعجز واليأس يستدعي زيارة الطبيب لتحديد السبب والعلاج المناسب. ويرتبط الاكتئاب بأعراض معينة تختلف من شخص لآخر، مع العلم أنه يتم تشخيص الاكتئاب في حال استمرار خمسة أو أكثر من هذه الأعراض لمدة أسبوعين على الأقل ومن هذه الأعراض: المزاج المحبط معظم ساعات اليوم وخاصة في الصباح. الشعور بالتعب ونقص في الطاقة والنشاط معظم ساعات اليوم. الشعور بالذنب وانعدام القيمة معظم الأوقات. الشعور بالتشاؤم واليأس. الصعوبة في التركيز ومشاكل في الذاكرة. النوم كثيراً أو عدم القدرة على النوم. التفكير في الانتحار والموت. التغيرات في الوزن. تجدر الإشارة إلى أن أعراض الاكتئاب قد تختلف من شخص لآخر ومن الممكن أن يشعر الشخص المصاب بالاكتئاب بلحظات من السعادة البسيطة ويعتبر ذلك مؤشراً إيجابياً على الاستجابة للعلاج أو البدء بتحسن الأعراض. ويمكن تحفيز شعور الشخص المصاب بالاكتئاب بلحظات من السعادة البسيطة من خلال اتباع النصائح التالية: التخلص من الاكتئاب والتوقف عن التفكير بالإصابة به، وتجنب الاجترار أي تجاوز مشكلة بشكل متكرر دون استكمالها. التفكير الإيحابي من أجل تحفيز استبدال الأفكار السلبية بأفكار إيجابية. القناعة أن الشعور بالحزن أمر طبيعي وأن الاكتئاب قد يتداخل مع سير الحياة. العمل على إحصاء النعم والقيم الأخرى التي يملكها الشخص. العلم أن الاستمرار في الطريق الخاطئ قد يجعل الاكتئاب أسوأ. العمل على اتباع نمط حياة صحي خال من الكحول والتدخين. العمل على اتباع نمط غذائي صحي مع ممارسة التمارين الرياضية. الحصول على قسط كاف من النوم والراحة. للمزيد: ما هي انواع الاكتئاب؟ اعراض الاكتئاب الجسدية كيفية التوقف عن دواء الاكتئاب بطريقة صحيحة	['A', 'E']	['1', '2']
عدم تركيز مع الآخرين وتوتر واختناق وعدم القدرة على النوم وساوس وزن رهيب في الدماغ والتوتر الدائم	واضح انك توتري قوي حاولى انك وأنت بتتكلمى مع الآخرين انك لا تأخذي الموضوع على انك في وضع تقييم ثقي في نفسك و ركزي عليها اكتر من رأي الناس فيك	['A', 'D', 'E']	['1', '3']
هل العصبية الزائدة والشديدة التي تؤدي إلى تكسير الاغراض التي حول الشخص او ضرب من حوله من اهل وبضرب نفسه ضرباً مبرحاً يُعتبر مرضاً نفسياً يجب علاجه ؟	نعم يجب علاجه	['A', 'E']	['1', '2']
سلام مشكلتي اني انسى كثيرماهي من عاتي انسى ادوخ كثيرلما اكون نايمه ساعات طويله لما اصحى ما يكمل يومي ثلاث ساعات ابغا ارجع انام استيعابي بطى خمول وتشتت	تحتاجين الى تنظيم غذائك لتحسين وضعك الغذائي واضح انك تحتاجين لزيادة وزن بشكل متوازن نظمي نومك وصحوك وانشطتك اليومية بشكل متوازن	['A', 'E']	['1', '2']
اشعر بوحده وابكي كثيرا ثم تأتي فترات اضحك دون سبب مسبق فجاة اريد ان اكون طبيعيا في التصرف ورغم اختلاطي بالعائلة الا انني اشعر انه لا احد يفهمني منهم فاكتم دائما مااريد الحديث عنه واتأذى بسبب الكتمان دخلت في اكتئاب قبل اسبوع ماذا عساي ان افعل	ننصحك بمراجعة طبيب نفسية - عصبية لتشخيص الحالة بشكل صحيح..	['A']	['2']
هل حبوب ميرزاجن لها اضرار	يصنف هذا الدواء (الاسم العلمي: ميرتازابين mirtazapine) تحت علاجات مرض الاكتئاب، و لا ينصح أبدا بتناوله دون علم و اشراف طبيب مختص لمراقبة تأثيره، أعراضه الجانبية المحتملة و تعارضه مع العديد من الأدوية. اكثر الاعراض الجانبية شيوعا: النعاس ازدياد الشهية الامساك زيادة الوزن ارتفاع ضغط الدم دوار ضعف عام أو اعياء أرق أو اضطرابات نوم اخرى... و غيرها العديد. بالاضافة إلى خطر حصول أعراض أخرى اقل شيوعا و لكنها اشد خطرا	['B']	['1']
اعاني من كثرت التفكير وتخيل اشياء غير متوقعه واعاني من الم شديد بالجسم والراس وتنميل	برجاء استشاره معالج نفسي او طبيب نفسي .. الكثير من الناس تعاني من القلق و الراحه النفسيه في معظم الحالات يمكن تحقيقها عن طريق تاكيد التشخيص من طبيب مختص و الالتزام بتعليماته باتباع العلاج السلوكيCognitive Behavioral Therapy أو الدوائي SSRI Temporary usage of Benzodiazepines دمت سالما	['A', 'C', 'D']	['1', '2']
رجاء أريد معلومات عن دواء جديد اسمه Ixel Milnacipran شكرا	Ixel Milnacipran هو من الادوية العصبية النفسية يعتبر من مثبطات السيروتونين ويستعمل في اكثر البلدان كعلاج لاضطرابات الاكتئاب ماعدا الولايات المتحدة حيث يستعمل في متلازمة الالام المعممة Fibromyalgia من تاثيراته الجانبية الغثيان والامساك والصداع والارق ( عدم النوم ) مع جفاف الفم وخفقان وارتفاع في خمائر الكبد , يعطى بالبداية بجرعة 100 ملغ باليوم على دفعتين وينتبه لان له تداخلات دوائية مهمة لذا لايعطى الا تحت اشراف طبي .	['B']	['1']
ضروري ما علاج هو الوسواس القهري لشاب في العشرين . يصاحبه ب panic attack شديدة و يجبره علي فعل اشياء لا يريدها حتي يستسلم له و .	مراجعة طبيب نفسي لعمل جلسات و اخذ دوا مناسب	['B']	['1', '2']
ماهو سبب مرض انفصام الشخصية	أن كنت تقصدين الفصام العقلي فلا يوجد له سبب محدد بل تتظافر مجموعة من العوامل منها عوامل جينية وراثية ومنها عوامل بيئية لتؤدي في المحصلة الى ظهور المرض النفسي..	['D']	['1']
انا حزين جدا لدرجه لا يتخيلها اي انسان انا اريد ان ينتهي كل هذا	سوف ينتهي الحزن وتعيشين بسعادة غامرة بإذن الله، انصحك بمحادثة متخصص في العلاج النفسي، فهناك طرق حديثة وأدوية رائعة تساعدك بإذن الله على العيش بسعادة. كثيرين يمرون بأوقات عصيبة ويتجاوزنها وأنتي منهم. لا تكتمي حزنك، واستشيري من تثقين فيه	['A', 'E']	['2', '3']
خمول ، كره الاكل ،نقص الوزن، البكاء المتكرر ، النوم الكثير ، عدم التأقلم مع ناس جدد او التعرف	اذا استمرت هذه الأعراض التي ذكرت لمدة أسبوعين أو أكثر. وكذلك اذا اثرت الأعراض على واجباتك او دراستك.	['A', 'D', 'E']	['1', '2']
انا فيني اكتئاب وقلق ووصف لي دكتورcitalopram استخدمتها ثلاث شهور ولا نفع احتاج وصفه ativan	سيتالوبرام أفضل	['B']	['1']
اعاني من كوابيس متكررة بشوف اكتر اشياء بخاف منها انها بتصير وبصحى مرعوبة او ببكي، عندي مشاكل في الجهاز الهضمي وباخدله ادوية، بشعر انه في علاقة بينهم.. شو اعمل ووين لازم اروح؟	لا بد من التشاور مع الزميل الذي وصف هذه الأدويةنحتاج إلى علاج نفسي وربما علاج أسري وسط العائلة	['B']	['1', '2']
انا شاب ملتزم أعاني كل فترة من وسواس قهري وتصورات خاطئة وما ان اخرج من مشكلة نفسية إلا وادخل في آخرى.مشكلتي حاليا هي أنه فعلت عادة سرية في غرفتي على الأرض وبعدها بدقائق دخل أخي الغرفة ، والآن وبعد اشهر صرت اتذكر وافكر هل رأى المني أم لا واعيد التفكير وو كأنه أصبح شي ملازم لي يمنعني السعادة ...	سلامتك الوسواس مرض نفسي قابل للعلاج وكلما كان مبكرا اصبح ايسر في العلاج	['A', 'D']	['1', '3']
هل الانتحار عن طريق حبوب المنوم يجعلني اشعر بل الم ام ساموت دون الم وماهو افضل نوع حبوب منوم يفي بالغرض ؟؟وارجو عدم ادخال اي كلام ديني بالرد ولا اريد موعظة وشكرا	انت حاسس ان ده افضل حل حاليا لان مفيش حاجة حلوة في حياتك وكل يوم بتعيشه مؤلم بالنسبة لك، طيب لو في فرصة تطلب المساعدة وتلاقي حاجات حلوة واهداف مهمة في حياتك، مش يمكن ده يخليك تعيد النظر في اختيارك، ارجو التواصل معايا عن طريق رقم التلفون يمكن اقدر اساعدك	['B']	['1', '3']
اعاني من تخيلات غريبه اثناء النوم حيث استيقظ تقريبا يوميا و اتخيل مخلوقات غريبه حولي و احول ابعادها او قتلها اكون في هذه الحاله واعي لما يحصل حولي ثم فجأه استيقظ بشكل كامل و اعود للنوم مجددا ، ما هو السبب؟	هي حالة من اضطرابات النوم على شكل احلام مزعجة او مخيفة قد يكون لها احيانا بعض الدلالات على وجود حالة القلق العام	['A', 'D']	['1']
انا اعاني من مشكلة قلة الكلام وعدم معرفة كيف او ماذا أتحدث مع الآخرين وأريد ان اتخلص من هذا الشي ومعالجته اتمنى المساعدة على حل هذه المشكلة	ربما تكون تعاني من انطواء أو قلة الثقة بالنفس مما يجعلك لا تملك مهارات تواصل جيدة مع الآخرين.... يمكن حل المشكلة بعرض نفسك على معالج نفسي	['B']	['1', '2']
أكره أبي منذ الصغر ولا احب التحدث معه لأنه عندما كنت طفلة كنت بدينة وكان دائم التنمر على شكلي ويقارنني بالفتيات الأخريات وكل عائلتي وأقاربي نفس الشيء دائما يتنمرون علي والآن أنا أقترب من العشرينات وما زالت ثقتي بنفسي متزعزعة وأرفض فكرة الزواج لأنني غير راضية عن شكلي	والدك يتمنى ان يراك في احسن صوره انت جميله بخلقك وروحك ومرحك ونجاحك وثقتك بنفسك لا تدعي اي حد يزعزع من ثقتك بنفسك تحدثي من والدك انك تضايقين من كلامه وتعتبيريه تنمر واطلبي منه مساعدتك في ان تصلي الي الشكل الذي تريدينه انتي ويجعلك راضيه عن نفسك اما لموضوع السمنه السمنه مقاييس وحسابات انصحك بالتوجه لطبيب تغذيه لمعرفه اسباب السمنه ويجب عليكي عمل تحاليل عديده من ضمنها الغده لان ممكن ان يكون السبب بسيط جدا مجرد تظبيط هرمونات عليكي المتابعه مع طبيب متخصص وممكن ان تستشيري دكتور تخصص نفسيه لتعزيز ثقتك بنفسك مره اخرى .... دمتى جميله ومتألقه دائما	['D', 'E']	['1', '2', '3']
انا عندي اعرض الاكتئاب وعدا شهرين، بحس بصداع و ألم في الظهر و في العضلات و أفكار انتحارية. وانا مش حابة أحكي لأهلي عشان مش هيفهموني، ماذا أفعل؟!	البيئة والأهل والأصدقاء لهم دورهم في المرض كما في الشفاءمهم جداً إشراكهم والذهاب بصحبتهم إلى الطبيب النفسانيالأفكار الانتحارية تستدعي دخول مستشفى	['A', 'B']	['1', '2', '3']
اعاني من اضطراب في الساعه البيولوجيه منذ سنوات عدة مما سبب لي اضطراب فالاعصاب والنوم والشعبيه بالاضافه اني اعاني من الوساس القهري الشديد من بعد منتصف الليل الي الظهر وأمراض الذهان ثنائيه القطب ومرض عدم الاتصال بالعالم الخارجي كما قالي ليى الطبيب المعالج	عليك الالتزام بالمتابعة والعلاج الدوائي والنفسي	['B', 'D']	['1', '2']
اشعر وكاني في حلم بعض الاحيان مع قلة في التركيز وارهاق في كامل الجسم مع قلة الرغبة في كثير من الاشياء وعدم الاستطاعة على نوم ذهبة لطبيب وقام بجميع التحاليل ولم يوجد شيئ واشعر	يمكن تعريف صعوبة التركيز بأنها انخفاض القدرة على تركيز الأفكار حول أمر ما، أو صعوبة التفكير بوضوح أو صعوبة التركيز على مهمة ما أو الحفاظ على الانتباه، مما يؤدي إلى التأثير السلبي على أداء الشخص في المدرسة أو العمل، وكذلك عدم المقدرة على اتخاذ قرار ما. يختلف نمط صعوبة التركيز من شخص لآخر، قد يكون في بعض الأحيان تعتبر مشكلة طويلة الأمد وتحدث في جميع الظروف، أو قد تنشأ بسبب حدث أو مرض ما بمجرد زواله يستعيد الشخص تركيزه.  عادة ما يظهر على الشخص الذي يعاني صعوبة التركيز الأعراض التالية: صعوبة في تذكر الأحداث والأشياء التي وقعت منذ وقت قصير. فقدان الأشياء بشكل متكرر أو صعوبة تذكر أماكنها.  صعوبة في اتخاذ القرارات. صعوبة في أداء المهام المعقدة.  فقدان الطاقة الجسدية أو العقلية للتركيز.  ارتكاب بعض الأخطاء التي قد يظنها البعض أنها بسبب الإهمال. تفوتك بعض المواعيد أو الاجتماعات المهمة.  عادة ما تكون صعوبة التركيز ناجمة عن مشاكل طبية، أو معرفية، أو نفسية، أو قد تكون مرتبطة باضطرابات النوم، أو بسبب تناول بعض الأدوية، أو شرب الكحول، أو تناول الحبوب المخدرة. من أهم المشاكل الطبية المؤدية لصعوبة التركيز، ما يلي: متلازمة التعب المزمن ومتلازمات الألم. التعرض لإصابات الدماغ الرضحية، والسكتة الدماغية.  متلازمة كوشينغ. الخرف. الصرع.  الأرق. توقف التنفس أثناء النوم. التسمم بالمعادن الثقيلة. الإصابة بالالتهابات والعدوى. المشاكل المعرفية، مثل: اضطراب فرط الحركة وتشتت الانتباه، وصعوبات التعلم، واضطرابات الرؤية، والهذيان، والخرف. المشاكل النفسية: الاضطراب الاكتئابي الحاد، والفصام، والقلق والتوتر، والاكتئاب، والاضطراب ثنائي القطب، والتعرض لصدمات عاطفية. أنماط الحياة: قلة النوم، والجوع، والإجهاد الزائد.  لذا ينصح بمراجعة الطبيب المختص لمعرفة السبب وراء صعوبة التركيز وعلاجه بناءاً على ذلك. للمزيد: طرق لزيادة التركيز أثناء الدراسة والعمل تحفيز التفكير الإيجابي يقي من الخرف	['A', 'B']	['1', '2']
انا فتاه معاقه تشوه في الكلى وفي البطن والقدمين لا أتحرك مقعده على الكرسي عمري 16سنة وانا مدمنة فاليوم اخذ باليوم 3 او 2 حبات ولا اقدر ان اتركه اتمنه ان تساعدوني كي اتركه	اهلا اولا يجب معرفة لماذا تم وصف الفاليوم لكي؟ هل السبب هو اعراض كالقلق و الارق او لأسباب طبيه اخرى؟ ثانيا يجب معرفة المدة لاستخدام الفاليوم .. و هل اثناء هذه المده تم زيادة الجرعه ام هي ثابته من البداية حتى الان؟ ولكن بشكل عام للتخلص من الفاليوم يجيب ان يتم الامر تدريجيا على عدة ايام . فيتم انقاص الجرعه بمعدل لا يزيد عن ٢٥% من الجرعه الحاليه في المره الواحده و يكون هذا الانقاص كل يومين او ثلاث ايام . فيصبح الامر ان يتم تخفيض الجرعه بمعدل ٢٥% في اليوم الاول ثم بعد ثلاثة ايام يتم تخفيض ٢٥% مره اخرى .. وهكذا . يعتمد الامر على قدرة الشخص و مدى تحمله للاعراض الانسحابيه .. فيمكن ان يتم الانقاص بمعدل اقل و على فترات متباعده اكثر للاشخاص الغير قادرين على تحمل الاعراض الانسحابيه . شكرا لتواصلك	['A', 'B', 'C']	['1']
الاعراض الانسحابية للاستالوبرام قوية علي عندما تركته بسبب الخوف من تأثيره على الحمل ولكن الاعراض قوية ذهبت الطبيب اشعر بالمرض فحوصاتي سليمة كالدم والبول ولكن تعرضت لانتكاسة عند ترك الدواء منذ شهرين ولا استطيع زيارة الطبيب النفسي استخدمت جرعة ١٠ ثم ٢٠ ولمدة سنتين ونصف تقريبا اريد المساعدة ضروري	اتمنى لكي السلامة اختي الكريمة. ليس للاستالوبرام تاثير مشوه معروف بالحمل . و لكن في حال الرغبة بايقافه فلا بد من التوقف عنه تدريجيا بتخفيض الجرعة من 20 الى 10 ثم الى 5 اذا لزم الامر بفاصل اسبوع كحد ادنى. يترتب على الايقاف الفجائي اعراض انسحابية عادة ما تظهر في اليوم الخامس لايقاف الدواء . يعتبر دواء البروزاك الاكثر امنا في الحمل و ايضا لا يذكر له اعراض انسحابية ذات قيمة . لا تستبدلي اي دواء بدون الرجوع لطبيبك النفسي فهو الاعلم بحالتك .	['A', 'B']	['1', '2', '3']
اعاني من ارتجاف شديد مع سرعة ضربات القلب مع خوف مع الشعور بالا ختناق عند التفكير بالموت وخاصة عندما اكون برحله سفر وأحياناً عندما أفكر بالايام العاديه أحياناً وجزاكم الله خير	أعراض قلق و رهاب يفضل البدء بالعلاج السلوكي	['A', 'D']	['1']
اعاني من ضيق او الم في الصدر الم لا اعلم كيف اشرحه بسبب التوتر والضغط لانيي انتظر شي وااي الان لم يتم الاعلان عنه وانا خائفة من الاختيار لذلك اشعر بضيق والم في الصدر من الساعة 8 صباحا الي الان وانا اشعر به هو لا يولمني لاكنني اشعر بلضيق اخاف ان يصيبني شي في ما العمل ماذا افعل كيف يذهب هذا الشي	يمكنك عمل تدريبات استرخاء تنفسى وانفعالى وهى تدريبات تنفس خفيفة يمكنك الدخول على اليوتيوب وكتباه تدريبات الاسترخاء الانفعالى او تدريبات اليوجا هذا الامر سيساعدك فى الاسترخاء ولكن يفضل مراجعة مختص نفسى لشرح اكثر عن الحالة لذا يمكنك التواصل معنى لمزيد من التفاصيل وعمل اللازم	['A', 'B']	['1', '2']
كم تستمر مدة علاج الذهان الحاد و ليس المزمن ، اقصى مدة كم ؟ المريض الآن لديه ثلاث سنوات علاج و هو منذ اكثر من عام في صحة جيدة و ناجح في دراسته و حياته اليومية .	اعني لا ينتكس المريض الا اذا وقف العلاج دون علم الطبيب واحتمال الانتكاسة ضعيف	['B', 'D']	['1', '2']
كنت اعانى من قلق واخدت دواء سبرالكس لمدة 4 شهور وتوقفت عنه شهر 10 سنه 2014 سأذهب لعمل ويطلبون تحليل للبول فعل يبقى اثره فى تحليل للبول حتى اﻻن بعد كل هذه الفتره ام ﻻ ارجو الرد	السيبرالكس لا يظهر في تحاليل البول، ثم أنه ليس دواء مخدرا، فلا يوجد اي ضرر منه، وتناوله لا يمنع من العمل. لا تقلقي، لن يظهر	['B', 'D', 'E']	['1', '3']
بكاء مع قطع النفس وازرقاق شو السبب وكيف اتخلص منها	اولا يجب تجنب الأشياء المسسبه لهذه الأعراض مثل الشاي و القهوة السكريات قلة النوم الوجبات السريعه ممارسة الرياضة بانتظام تناول مشروب الكام وميل الدافيء ممارسة تمارين اليقظة و التأمل عدم متابعة الاخبار بشكل زائد عن اللزوم	['A', 'B', 'D']	['1', '2']
عندي مشكله تقريباً لها اربع او ثلاث ايام لما اتضايق واعصب ترتفع حرارتي لدرجه احس عيوني بتطلع وتجيني رجفه بجسمي وابكي ولما اهدا واروق يصير جسمي مرا بارد ثلج ويرجع طبيعي	انتي قولتي الاجابة في وسط سؤالك.. متتعصبيش واشربي سوائل هتروقي ده امر طبيعي الادرينالين بيعلي مع العصبيه والنرفزة ولما جسمك يهدي درجه حرارتك بتهدي.. عليك بالهدوء	['A', 'D']	['1', '2', '3']
